日付,クリック数,表示回数,CTR,掲載順位
2025-10-12,0,0,,
2025-10-13,0,0,,
2025-10-14,0,0,,
2025-10-15,0,0,,
2025-10-16,0,3,0%,8
2025-10-17,0,7,0%,42
2025-10-18,0,41,0%,21.3
2025-10-19,0,115,0%,15.1
2025-10-20,5,148,3.38%,17.9
2025-10-21,0,94,0%,26.7
2025-10-22,1,81,1.23%,11.7
2025-10-23,1,108,0.93%,11.6
2025-10-24,0,76,0%,11.5
2025-10-25,2,103,1.94%,13.6
2025-10-26,0,116,0%,14.1
2025-10-27,1,93,1.08%,15.6
2025-10-28,2,73,2.74%,15.8
2025-10-29,0,95,0%,13.5
2025-10-30,0,168,0%,14.7
2025-10-31,0,148,0%,7.6
2025-11-01,1,100,1%,8.5
2025-11-02,0,105,0%,14.2
2025-11-03,2,113,1.77%,9.2
2025-11-04,1,89,1.12%,14.6
2025-11-05,0,101,0%,10.5
2025-11-06,2,112,1.79%,9.5
2025-11-07,1,75,1.33%,9.3
2025-11-08,1,101,0.99%,8.9
2025-11-09,0,133,0%,14.3
2025-11-10,4,172,2.33%,11.6
2025-11-11,1,174,0.57%,13.8
2025-11-12,5,185,2.7%,11.2
2025-11-13,2,284,0.7%,10.6
2025-11-14,1,280,0.36%,9.1
2025-11-15,1,300,0.33%,9.2
2025-11-16,1,363,0.28%,10.5
2025-11-17,3,340,0.88%,9.3
2025-11-18,2,366,0.55%,8.9
2025-11-19,11,474,2.32%,8.2
2025-11-20,5,533,0.94%,8.5
2025-11-21,5,565,0.88%,7.8
2025-11-22,11,502,2.19%,9.5
2025-11-23,4,535,0.75%,8.1
2025-11-24,10,638,1.57%,8.6
2025-11-25,9,611,1.47%,7.4
2025-11-26,3,753,0.4%,8.2
2025-11-27,5,776,0.64%,7
2025-11-28,4,750,0.53%,6.9
2025-11-29,4,751,0.53%,6.5
2025-11-30,6,870,0.69%,6.3
2025-12-01,13,1066,1.22%,6.1
2025-12-02,12,1073,1.12%,6.5
2025-12-03,11,998,1.1%,6.4
2025-12-04,9,911,0.99%,6.5
2025-12-05,3,694,0.43%,9.6
2025-12-06,3,556,0.54%,6.9
2025-12-07,3,634,0.47%,8.7
2025-12-08,3,633,0.47%,7.8
2025-12-09,5,504,0.99%,9.9
2025-12-10,4,512,0.78%,8.8
2025-12-11,6,544,1.1%,8.7
2025-12-12,3,358,0.84%,11.5
2025-12-13,3,372,0.81%,9.8
2025-12-14,1,469,0.21%,10.2
2025-12-15,8,476,1.68%,10.1
2025-12-16,5,385,1.3%,8.8
2025-12-17,6,304,1.97%,9.3
2025-12-18,4,347,1.15%,8.3
2025-12-19,2,334,0.6%,11.2
2025-12-20,1,382,0.26%,9.3
2025-12-21,5,473,1.06%,12.8
2025-12-22,2,402,0.5%,12.7
2025-12-23,4,383,1.04%,12
2025-12-24,1,343,0.29%,12.4
2025-12-25,6,337,1.78%,9.1
2025-12-26,2,261,0.77%,15.1
2025-12-27,1,256,0.39%,8.7
2025-12-28,2,280,0.71%,11.3
2025-12-29,4,391,1.02%,8.4
2025-12-30,2,376,0.53%,12.9
2025-12-31,3,288,1.04%,8.8
2026-01-01,3,469,0.64%,12.4
